SNo,District,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11,metric_12,metric_13,metric_14,metric_15,metric_16,metric_17,metric_18,metric_19,metric_20,metric_21,metric_22,metric_23,metric_24,metric_25,metric_26,metric_27,metric_28,metric_29,metric_30,Year
1,AGRA,14894,133559,14435,328252,8516,301612,7718,352309,6879,384637,6286,413057,6528,492492,18007,1646870,7590,759000,169,17119,0,0,0,0,0,0,0,0,91022,4828907,2024
2,ALIGARH,22232,174935,18357,408667,8261,292182,7218,326504,6030,334010,5076,332371,4554,343645,8853,796948,3764,376400,85,8618,0,0,0,0,0,0,0,0,84430,3394280,2024
3,AMBEDKAR NAGAR,18154,173271,19344,437837,8211,290253,8147,368091,7607,426288,6378,418038,7088,536738,17788,1590429,6148,614800,244,24750,0,0,0,0,0,0,0,0,99109,4880495,2024
4,AMETHI,14056,125479,14825,341246,7479,261040,7498,338889,6652,372606,6860,446250,6653,504294,19242,1734551,6289,628900,61,6189,0,0,0,0,0,0,0,0,89615,4759444,2024
5,AMROHA,15479,126008,14750,322041,6664,234006,6218,281876,5415,301069,5155,335636,5115,387308,11359,1037355,8224,822400,80,8102,0,0,0,0,0,0,0,0,78459,3855801,2024
6,AURAIYA,11500,96606,9828,227912,4595,164362,4454,199483,4224,233498,3665,240860,2930,221263,8026,730928,2097,209700,14,1415,0,0,0,0,0,0,0,0,51333,2326027,2024
7,AYODHYA,16862,144024,14865,337460,7632,270480,6985,316313,6516,361604,6281,413616,6261,472391,14713,1332842,6231,623100,48,4862,0,0,0,0,0,0,0,0,86394,4276692,2024
8,AZAMGARH,29608,304467,31987,752685,16211,577227,16671,754540,16361,913343,14284,942615,13314,1006000,32439,2915924,11943,1194300,196,19850,0,0,0,0,0,0,0,0,183014,9380951,2024
9,BAGHPAT,1014,5987,474,10112,163,5710,109,4934,56,3108,61,3943,26,1953,57,5043,31,3100,0,0,0,0,0,0,0,0,0,0,1991,43890,2024
10,BAHRAICH,19895,212350,28489,685431,15014,534274,15215,688319,15681,877116,14533,948030,14823,1125300,46564,4212035,26753,2675300,862,87504,0,0,0,0,0,0,0,0,197829,12045659,2024
11,BALLIA,16445,179348,18818,441103,8416,299356,8666,390031,8998,503965,8021,531368,9263,703998,15678,1405963,4184,418400,99,10029,0,0,0,0,0,0,0,0,98588,4883561,2024
12,BALRAMPUR,23995,139777,14782,341733,7855,280347,7907,356459,7774,432070,7308,478722,7023,531888,19853,1797762,15508,1550800,187,18940,0,0,0,0,0,0,0,0,112192,5928498,2024
13,BANDA,12021,123343,12965,310784,6161,216082,7457,336488,7110,402256,7393,494042,7367,557195,16825,1496805,3798,379800,37,3750,0,0,0,0,0,0,0,0,81134,4320545,2024
14,BARABANKI,19594,197175,21942,515511,12482,448425,11800,535575,11818,656185,10915,714103,11134,843135,33014,3011185,16364,1636400,230,23289,0,0,0,0,0,0,0,0,149293,8580983,2024
15,BAREILLY,31742,248455,23781,524679,9865,348219,8278,374599,7520,418756,6170,401845,5573,419949,10724,963906,3338,333800,61,6203,0,0,0,0,0,0,0,0,107052,4040411,2024
16,BASTI,25517,299565,35821,853065,16784,602081,20236,905177,19746,1099747,16524,1087663,16960,1281668,43914,3979172,21981,2198100,652,66177,0,0,0,0,0,0,0,0,218135,12372415,2024
17,BIJNOR,51254,364575,29850,646980,11223,395827,8557,387808,6554,362900,5435,355323,4827,364918,12768,1172965,3151,315100,47,4768,0,0,0,0,0,0,0,0,133666,4371164,2024
18,BUDAUN,19956,179803,16643,385475,7780,276506,7817,350099,6602,365867,6055,397849,5163,390431,9639,858057,4616,461600,54,5509,0,0,0,0,0,0,0,0,84325,3671196,2024
19,BULANDSHAHR,7346,53488,4973,108572,1851,65784,1544,69640,1326,74469,932,61180,1025,76728,2143,193330,555,55500,44,4456,0,0,0,0,0,0,0,0,21739,763147,2024
20,CHANDAULI,15457,157584,16272,390028,8320,300599,8028,359496,8137,450734,7503,494939,6152,465685,23056,2117478,3689,368900,674,68562,0,0,0,0,0,0,0,0,97288,5174005,2024
