SNo,District,financial_metric_1,financial_metric_2,financial_metric_3,financial_metric_4,financial_metric_5,financial_metric_6,financial_metric_7,financial_metric_8,financial_metric_9,financial_metric_10,financial_metric_11,financial_metric_12,financial_metric_13,financial_metric_14,financial_metric_15,financial_metric_16,financial_metric_17,financial_metric_18,financial_metric_19,financial_metric_20,financial_metric_21,financial_metric_22,financial_metric_23,financial_metric_24,financial_metric_25,financial_metric_26,financial_metric_27,financial_metric_28,Year
1,AZAMGARH,,-154.66,0,0,0,36749.98,0,0,0,0,0,36595.33,0,20559.27,946.15,13410.55,1006.72,813.68,0.5,814.18,36736.87,100.39,-141.55,60.01,14.56,207.04,3.42,285.03,2021
2,BANDA,,-20.79,0,0,0,19161.26,0,0,0,0,0,19140.47,0,10414.92,469.11,7313.32,577.1,373.8,6.5,380.3,19154.75,100.07,-14.27,6.3,0.15,0.02,0.01,6.48,2021
3,BARABANKI,,-5.05,0,0,0,28080.08,0,0,0,0,0,28075.03,0,16083.99,982.77,10294.95,51.54,645.05,0,645.05,28058.3,99.94,16.73,12.37,3.03,6.71,0.01,22.12,2021
4,CHANDAULI,,26.59,0,0,0,20565.53,0,0,0,0,0,20592.12,0,11237.82,565.42,8241.52,129.2,384.79,0,384.79,20558.74,99.84,33.39,10.73,6.07,22.96,0,39.76,2021
5,CHITRAKOOT,,37.42,0,0,0,16224.2,0,0,0,0,0,16261.62,0,9552.97,238.41,5519.82,639.94,252.09,0.69,252.78,16203.92,99.65,57.7,6.23,0,1.26,0,7.49,2021
6,FATEHPUR,,14.15,0,0,0,21833.31,0,0,0,0,0,21847.46,0,12771.7,419.68,7929.87,92.55,591.35,0,591.35,21805.15,99.81,42.31,19.69,1.66,8.8,0.04,30.19,2021
7,GORAKHPUR,,-80.57,0,0,0,18566.54,0,0,0,0,0,18485.97,0,11869.35,413.68,5462.96,164.69,639.59,0,639.59,18550.28,100.35,-64.31,136.15,2.83,8.64,0.1,147.72,2021
8,HAMIRPUR,,-28.06,0,0,0,17314.93,0,0,0,0,0,17286.87,0,10302.41,320.81,5893.69,488.7,255.26,0.51,255.77,17261.38,99.85,25.49,4.6,2.02,1.1,0,7.72,2021
9,HARDOI,,-123.71,0,0,0,32843.63,0,0,0,0,0,32719.92,0,23042.61,616,8061.64,487.4,629.15,0,629.15,32836.8,100.36,-116.88,16.56,8.06,28.27,2.15,55.04,2021
10,JALAUN,,-4.07,0,0,0,26511.95,0,0,0,0,0,26507.89,0,14978.6,512.28,9608.78,965.32,429.26,0,429.26,26494.24,99.95,13.65,12.85,1.43,0.88,0.03,15.19,2021
