SNo_x,District,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11,metric_12,metric_13,metric_14,metric_15,metric_16,metric_17,metric_18,metric_19,metric_20,metric_21,metric_22,metric_23,metric_24,metric_25,metric_26,metric_27,metric_28,metric_29,metric_30,Year,SNo_y,financial_metric_1,financial_metric_2,financial_metric_3,financial_metric_4,financial_metric_5,financial_metric_6,financial_metric_7,financial_metric_8,financial_metric_9,financial_metric_10,financial_metric_11,financial_metric_12,financial_metric_13,financial_metric_14,financial_metric_15,financial_metric_16,financial_metric_17,financial_metric_18,financial_metric_19,financial_metric_20,financial_metric_21,financial_metric_22,financial_metric_23,financial_metric_24,financial_metric_25,financial_metric_26,financial_metric_27,financial_metric_28
1.0,AGRA,11597,106321,10764,244172,5358,189067,4977,227360,4050,227841,2775,182191,3197,239665,8385,768887,711,71100,0,0,0,0,0,0,0,0,0,0,51814,2256604,2020,40,,12.31,0.0,0.0,0.0,5357.45,0.0,0.0,0,0.0,0.0,5369.77,0.0,4187.12,147.35,679.66,67.24,264.64,0.61,265.25,5346.62,99.57,23.14,1.33,0.81,1.44,0.12,3.7
2.0,ALIGARH,18318,161261,13214,304022,5752,202447,5856,264079,3786,209767,4036,265338,2749,208305,7203,652224,699,69900,0,0,0,0,0,0,0,0,0,0,61613,2337343,2020,41,,-1.22,0.0,0.0,0.0,5396.45,0.0,0.0,0,0.0,0.0,5395.22,0.0,4382.75,130.86,615.9,31.72,223.58,0.78,224.36,5385.59,99.82,9.63,4.11,1.08,17.28,0.18,22.65
3.0,AMBEDKAR NAGAR,14872,148386,14048,326188,5717,201745,6271,280855,5129,286952,4398,290079,3713,280372,12343,1125625,1152,115200,0,0,0,0,0,0,0,0,0,0,67643,3055402,2020,23,,-4.91,0.0,0.0,0.0,7840.11,0.0,0.0,0,0.0,0.0,7835.2,0.0,5613.79,115.14,1715.95,30.1,339.84,0.0,339.84,7814.82,99.74,20.38,15.16,1.02,4.46,0.11,20.75
4.0,AMETHI,11576,118954,14397,338310,4429,157376,7162,320521,5942,334789,4472,294144,5017,380214,13018,1180379,1584,158400,0,0,0,0,0,0,0,0,0,0,67597,3283087,2020,42,,-3.07,0.0,0.0,0.0,8659.75,6.1,0.0,0,0.0,0.0,8662.79,0.0,6051.87,166.61,1964.8,57.45,413.32,0.75,414.07,8654.81,99.91,7.98,3.91,1.51,1.41,0.03,6.86
5.0,AMROHA,19019,148419,15490,342646,6364,226266,5049,229373,4266,237640,3345,219130,2929,221991,6657,606113,811,81100,0,0,0,0,0,0,0,0,0,0,63930,2312678,2020,43,,70.67,0.0,0.0,0.0,5408.29,0.0,0.0,0,0.0,0.0,5478.96,0.0,4250.65,72.23,798.55,5.61,262.6,1.15,263.75,5390.79,98.39,88.17,3.15,2.66,7.46,0.0,13.27
6.0,AURAIYA,10040,94518,7580,176626,3695,130858,3388,152762,2436,135689,2273,148156,1586,119974,3524,320988,529,52900,0,0,0,0,0,0,0,0,0,0,35051,1332471,2020,44,,-2.87,0.0,0.0,0.0,3114.72,0.0,0.0,0,0.0,0.0,3111.85,0.0,2478.08,70.42,359.83,38.46,152.85,0.0,152.85,3099.64,99.61,12.21,0.99,0.74,0.0,0.0,1.73
7.0,AYODHYA,16183,155990,13464,315876,6107,216595,6847,305961,5542,307175,5531,364883,3799,287721,16483,1513878,2226,222600,0,0,0,0,0,0,0,0,0,0,76182,3690679,2020,45,,154.96,0.0,0.0,0.0,9278.64,0.0,0.0,0,0.0,0.0,9433.59,0.0,6853.1,135.91,1791.25,23.03,460.53,0.0,460.53,9263.82,98.2,169.77,3.19,0.67,2.68,0.0,6.54
8.0,AZAMGARH,33816,319641,37471,883599,15869,563064,17864,808996,13037,725353,11522,756735,9347,705481,19396,1740563,1049,104900,0,0,0,0,0,0,0,0,0,0,159371,6608332,2020,1,,0.9,0.0,0.0,0.0,16034.28,0.0,0.0,0,0.0,0.0,16035.18,0.0,12103.53,371.18,2580.56,104.78,830.21,8.55,838.76,15998.81,99.77,36.37,1.73,2.76,2.45,0.11,7.05
9.0,BAGHPAT,557,5185,550,12228,242,8598,248,11305,161,8939,96,6284,82,6204,155,14059,31,3100,0,0,0,0,0,0,0,0,0,0,2122,75902,2020,46,,0.9,0.0,0.0,0.0,183.92,0.0,0.0,0,0.0,0.0,184.82,0.0,140.63,5.39,27.37,1.38,8.73,0.0,8.73,183.51,99.29,1.31,0.02,0.02,0.0,0.0,0.04
10.0,BAHRAICH,20598,207343,27173,639416,10975,387925,13291,605299,11742,664628,8567,562042,9747,732807,27654,2517072,2626,262600,0,0,0,0,0,0,0,0,0,0,132373,6579132,2020,24,,177.59,0.0,0.0,0.0,16980.12,0.0,0.0,0,0.0,0.0,17157.71,0.0,12229.05,326.55,3601.65,15.01,741.86,4.37,746.23,16918.49,98.61,239.22,4.17,8.27,0.52,0.0,12.96
11.0,BALLIA,17082,171095,19011,452635,7804,275962,8503,382607,7509,418053,5988,393130,4770,359836,12088,1088853,552,55200,0,0,0,0,0,0,0,0,0,0,83307,3597371,2020,25,,20.68,0.0,0.0,0.0,7994.71,0.0,0.0,0,0.0,0.0,8015.39,0.0,6508.89,112.95,938.31,24.25,375.51,0.0,375.51,7959.9,99.31,55.49,10.61,0.49,6.75,0.0,17.85
12.0,BALRAMPUR,11215,115560,10831,252976,6752,239854,6325,290505,5516,311352,4454,294189,5241,393206,19486,1792171,3335,333500,0,0,0,0,0,0,0,0,0,0,73155,4023313,2020,26,,165.0,0.0,0.0,0.0,8476.51,0.0,0.0,0,0.0,0.0,8641.51,0.0,7366.94,120.58,593.61,8.49,388.05,2.55,390.6,8480.22,98.13,161.28,3.85,5.2,25.89,0.09,35.03
13.0,BANDA,13261,123269,11888,279425,5460,196709,6297,286760,5460,306100,4039,266270,4554,341077,14796,1344751,6130,613000,0,0,0,0,0,0,0,0,0,0,71885,3757361,2020,2,,-5.24,0.0,0.0,0.0,9860.54,0.0,0.0,0,0.0,0.0,9855.29,0.0,6962.53,146.54,2205.67,124.46,372.96,6.29,379.26,9818.46,99.63,36.84,2.68,1.16,0.96,0.06,4.86
14.0,BARABANKI,19018,199118,17895,428908,9318,333380,9696,441300,8191,457153,7271,478379,6356,479291,22063,2018914,3473,347300,0,0,0,0,0,0,0,0,0,0,103281,5183743,2020,3,,66.52,0.0,0.0,0.0,14281.24,0.0,0.0,0,0.0,0.0,14347.76,0.0,9585.86,403.59,3545.44,41.32,677.32,11.85,689.17,14265.39,99.43,82.37,1.73,2.79,8.69,0.0,13.21
15.0,BAREILLY,26007,213122,18124,402874,7214,255571,5832,264185,4786,266446,3757,246195,3316,250235,8505,775552,1384,138400,0,0,0,0,0,0,0,0,0,0,78925,2812580,2020,47,,12.22,0.0,0.0,0.0,6610.44,0.0,0.0,0,0.0,0.0,6622.66,0.0,5188.09,235.22,778.42,63.62,330.85,0.0,330.85,6596.21,99.6,26.45,3.44,1.39,0.85,0.03,5.71
16.0,BASTI,25076,288661,31439,776328,10441,376423,15977,706883,15245,846228,13274,885538,9246,701766,33069,3018393,3607,360700,1,105,0,0,0,0,0,0,0,0,157375,7961025,2020,27,,153.59,0.0,0.0,0.0,19035.03,0.0,0.0,0,0.0,0.0,19188.62,0.0,14702.43,321.28,3318.43,12.12,645.52,7.43,652.95,19007.22,99.05,181.4,15.2,3.22,4.68,0.0,23.1
17.0,BIJNOR,41243,299496,21945,475449,7036,247946,4966,224327,3594,199369,2664,174258,2134,160896,5113,469445,878,87800,0,0,0,0,0,0,0,0,0,0,89573,2338986,2020,48,,1.34,0.0,0.0,0.0,5478.02,0.0,0.0,0,0.0,0.0,5479.35,0.0,4310.8,232.44,597.67,37.99,277.56,0.0,277.56,5456.45,99.58,22.9,3.1,1.56,1.4,0.0,6.06
18.0,BUDAUN,17929,173340,15686,363614,7126,252655,7638,344664,6212,347496,5510,362956,4988,376195,16943,1545394,1984,198400,0,0,0,0,0,0,0,0,0,0,84016,3964714,2020,28,,78.56,0.0,0.0,0.0,8867.83,0.0,0.0,0,0.0,0.0,8946.4,0.0,7409.91,158.73,787.42,63.59,406.56,0.37,406.93,8826.59,98.66,119.81,17.91,2.14,50.97,3.15,74.17
19.0,BULANDSHAHR,6323,44946,3635,76549,813,28652,571,25576,395,22033,200,13092,153,11566,227,20375,138,13800,0,0,0,0,0,0,0,0,0,0,12455,256589,2020,49,,4.08,0.0,0.0,0.0,562.89,0.0,0.0,0,0.0,0.0,566.98,0.0,474.81,35.18,28.51,1.19,22.43,0.34,22.77,562.46,99.2,4.52,1.03,0.33,0.18,0.0,1.54
20.0,CHANDAULI,13197,132618,11805,280013,5002,177373,6219,278498,4537,251590,4610,305390,3165,239955,13310,1221125,1310,131000,0,0,0,0,0,0,0,0,0,0,63155,3017562,2020,4,,43.95,0.0,0.0,0.0,7498.39,0.0,0.0,0,0.0,0.0,7542.34,0.0,5539.02,237.0,1271.14,24.59,398.31,4.4,402.71,7474.46,99.1,67.88,7.42,2.03,0.29,0.0,9.74
21.0,CHITRAKOOT,9844,93163,8105,191311,3991,140983,4823,217762,3542,196808,3923,258555,2784,210459,13933,1282953,3607,360700,0,0,0,0,0,0,0,0,0,0,54552,2952694,2020,5,,53.01,0.0,0.0,0.0,7224.35,0.0,0.0,0,0.0,0.0,7277.36,0.0,5476.6,135.95,1196.07,131.89,250.65,6.82,257.48,7197.99,98.91,79.37,0.55,1.86,1.58,0.19,4.18
22.0,DEORIA,11505,126909,16591,403386,5663,202995,8235,365912,7406,410689,5231,346455,4920,372175,13281,1203458,919,91900,0,0,0,0,0,0,0,0,0,0,73751,3523879,2020,50,,156.14,0.0,0.0,0.0,9033.94,0.0,0.0,0,0.0,0.0,9190.08,0.0,6554.95,196.12,1816.92,13.04,420.6,17.57,438.17,9019.19,98.14,170.89,10.81,1.94,4.01,0.05,16.81
23.0,ETAH,7302,73015,7848,190855,3239,113868,4324,194414,3557,197913,3196,211072,2048,155951,8177,746341,828,82800,0,0,0,0,0,0,0,0,0,0,40519,1966229,2020,29,,7.45,0.0,0.0,0.0,5186.93,0.0,0.0,0,0.0,0.0,5194.37,0.0,3626.91,131.06,1172.62,39.07,198.69,4.11,202.8,5172.46,99.58,21.91,6.13,19.77,0.0,0.0,25.9
24.0,ETAWAH,8518,81410,10468,243632,3704,131680,3941,178659,3515,198463,2085,137186,2612,195630,6385,578606,1380,138000,0,0,0,0,0,0,0,0,0,0,42608,1883266,2020,51,,27.03,0.0,0.0,0.0,4231.26,0.0,0.0,0,0.0,0.0,4258.29,0.0,3500.34,86.05,406.23,3.2,228.1,0.88,228.98,4224.8,99.21,33.49,1.04,1.86,0.0,0.0,2.9
25.0,FARRUKHABAD,9626,83274,8738,199093,3505,124896,3456,156293,2907,162175,2293,150510,3083,232846,5284,456804,31,3100,0,0,0,0,0,0,0,0,0,0,38923,1568991,2020,30,,19.73,0.0,0.0,0.0,3601.37,0.0,0.0,0,0.0,0.0,3621.1,0.0,2924.39,83.35,385.98,20.02,179.29,1.38,180.67,3594.41,99.26,26.69,0.6,0.69,2.0,0.0,3.29
26.0,FATEHPUR,13144,141177,17642,426395,4941,176789,8114,359181,8130,458621,5648,374263,6000,452395,20454,1849556,2824,282400,0,0,0,0,0,0,0,0,0,0,86897,4520777,2020,6,,23.14,0.0,0.0,0.0,11169.55,0.0,0.0,0,0.0,0.0,11192.68,0.0,8344.22,205.06,2000.31,20.03,579.78,7.72,587.5,11157.12,99.68,35.57,5.14,3.54,3.53,0.0,12.21
27.0,FIROZABAD,7894,73883,8430,196078,3759,133959,4516,204640,3952,221787,2779,182631,3438,258477,8358,753323,1157,115700,0,0,0,0,0,0,0,0,0,0,44283,2140478,2020,52,,2.88,0.0,0.0,0.0,4873.98,0.0,0.0,0,0.0,0.0,4876.85,0.0,3931.59,86.47,644.39,5.05,195.37,6.36,201.72,4869.22,99.84,7.63,1.07,1.84,0.0,0.0,2.91
28.0,GAUTAM BUDDHA NAGAR,180,1211,231,5463,98,3478,41,1863,10,544,4,255,0,0,2,184,0,0,0,0,0,0,0,0,0,0,0,0,566,12998,2020,53,,-0.26,0.0,0.0,0.0,24.71,0.0,0.0,0,0.0,0.0,24.44,0.0,24.18,0.0,0.0,0.0,0.26,0.0,0.26,24.44,100.0,0.0,0.06,0.0,0.0,0.0,0.06
29.0,GHAZIPUR,19706,195606,26652,627506,8941,319029,10717,487535,9143,510849,6211,408942,5923,444915,13828,1255540,2065,206500,0,0,0,0,0,0,0,0,0,0,103186,4456422,2020,55,,164.97,0.0,0.0,0.0,9856.08,0.0,0.0,0,0.0,0.0,10021.05,0.0,8095.35,128.58,1074.95,47.53,470.36,0.98,471.33,9817.74,97.97,203.31,8.03,1.75,1.4,0.04,11.22
