SNo_x,District,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11,metric_12,metric_13,metric_14,metric_15,metric_16,metric_17,metric_18,metric_19,metric_20,metric_21,metric_22,metric_23,metric_24,metric_25,metric_26,metric_27,metric_28,metric_29,metric_30,Year,SNo_y,financial_metric_1,financial_metric_2,financial_metric_3,financial_metric_4,financial_metric_5,financial_metric_6,financial_metric_7,financial_metric_8,financial_metric_9,financial_metric_10,financial_metric_11,financial_metric_12,financial_metric_13,financial_metric_14,financial_metric_15,financial_metric_16,financial_metric_17,financial_metric_18,financial_metric_19,financial_metric_20,financial_metric_21,financial_metric_22,financial_metric_23,financial_metric_24,financial_metric_25,financial_metric_26,financial_metric_27,financial_metric_28,metric_1_yoy_change,metric_1_rolling_avg,metric_1_status,metric_2_yoy_change,metric_2_rolling_avg,metric_2_status,metric_3_yoy_change,metric_3_rolling_avg,metric_3_status,metric_4_yoy_change,metric_4_rolling_avg,metric_4_status,metric_5_yoy_change,metric_5_rolling_avg,metric_5_status,metric_6_yoy_change,metric_6_rolling_avg,metric_6_status,metric_7_yoy_change,metric_7_rolling_avg,metric_7_status,metric_8_yoy_change,metric_8_rolling_avg,metric_8_status,metric_9_yoy_change,metric_9_rolling_avg,metric_9_status,metric_10_yoy_change,metric_10_rolling_avg,metric_10_status,metric_11_yoy_change,metric_11_rolling_avg,metric_11_status,metric_12_yoy_change,metric_12_rolling_avg,metric_12_status,metric_13_yoy_change,metric_13_rolling_avg,metric_13_status,metric_14_yoy_change,metric_14_rolling_avg,metric_14_status,metric_15_yoy_change,metric_15_rolling_avg,metric_15_status,metric_16_yoy_change,metric_16_rolling_avg,metric_16_status,metric_17_yoy_change,metric_17_rolling_avg,metric_17_status,metric_18_yoy_change,metric_18_rolling_avg,metric_18_status,metric_19_yoy_change,metric_19_rolling_avg,metric_19_status,metric_20_yoy_change,metric_20_rolling_avg,metric_20_status,metric_21_yoy_change,metric_21_rolling_avg,metric_21_status,metric_22_yoy_change,metric_22_rolling_avg,metric_22_status,metric_23_yoy_change,metric_23_rolling_avg,metric_23_status,metric_24_yoy_change,metric_24_rolling_avg,metric_24_status,metric_25_yoy_change,metric_25_rolling_avg,metric_25_status,metric_26_yoy_change,metric_26_rolling_avg,metric_26_status,metric_27_yoy_change,metric_27_rolling_avg,metric_27_status,metric_28_yoy_change,metric_28_rolling_avg,metric_28_status,metric_29_yoy_change,metric_29_rolling_avg,metric_29_status,metric_30_yoy_change,metric_30_rolling_avg,metric_30_status,financial_metric_1_yoy_change,financial_metric_1_rolling_avg,financial_metric_1_status,financial_metric_2_yoy_change,financial_metric_2_rolling_avg,financial_metric_2_status,financial_metric_3_yoy_change,financial_metric_3_rolling_avg,financial_metric_3_status,financial_metric_4_yoy_change,financial_metric_4_rolling_avg,financial_metric_4_status,financial_metric_5_yoy_change,financial_metric_5_rolling_avg,financial_metric_5_status,financial_metric_6_yoy_change,financial_metric_6_rolling_avg,financial_metric_6_status,financial_metric_7_yoy_change,financial_metric_7_rolling_avg,financial_metric_7_status,financial_metric_8_yoy_change,financial_metric_8_rolling_avg,financial_metric_8_status,financial_metric_9_yoy_change,financial_metric_9_rolling_avg,financial_metric_9_status,financial_metric_10_yoy_change,financial_metric_10_rolling_avg,financial_metric_10_status,financial_metric_11_yoy_change,financial_metric_11_rolling_avg,financial_metric_11_status,financial_metric_12_yoy_change,financial_metric_12_rolling_avg,financial_metric_12_status,financial_metric_13_yoy_change,financial_metric_13_rolling_avg,financial_metric_13_status,financial_metric_14_yoy_change,financial_metric_14_rolling_avg,financial_metric_14_status,financial_metric_15_yoy_change,financial_metric_15_rolling_avg,financial_metric_15_status,financial_metric_16_yoy_change,financial_metric_16_rolling_avg,financial_metric_16_status,financial_metric_17_yoy_change,financial_metric_17_rolling_avg,financial_metric_17_status,financial_metric_18_yoy_change,financial_metric_18_rolling_avg,financial_metric_18_status,financial_metric_19_yoy_change,financial_metric_19_rolling_avg,financial_metric_19_status,financial_metric_20_yoy_change,financial_metric_20_rolling_avg,financial_metric_20_status,financial_metric_21_yoy_change,financial_metric_21_rolling_avg,financial_metric_21_status,financial_metric_22_yoy_change,financial_metric_22_rolling_avg,financial_metric_22_status,financial_metric_23_yoy_change,financial_metric_23_rolling_avg,financial_metric_23_status,financial_metric_24_yoy_change,financial_metric_24_rolling_avg,financial_metric_24_status,financial_metric_25_yoy_change,financial_metric_25_rolling_avg,financial_metric_25_status,financial_metric_26_yoy_change,financial_metric_26_rolling_avg,financial_metric_26_status,financial_metric_27_yoy_change,financial_metric_27_rolling_avg,financial_metric_27_status,financial_metric_28_yoy_change,financial_metric_28_rolling_avg,financial_metric_28_status,financial_score,future_score,future_risk
1.0,AGRA,11597,106321,10764,244172,5358,189067,4977,227360,4050,227841,2775,182191,3197,239665,8385,768887,711,71100,0,0,0,0,0,0,0,0,0,0,51814,2256604,2020,40,,12.31,0.0,0.0,0.0,5357.45,0.0,0.0,0.0,0.0,0.0,5369.77,0.0,4187.12,147.35,679.66,67.24,264.64,0.61,265.25,5346.62,99.57,23.14,1.33,0.81,1.44,0.12,3.7,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,21828.129999999997,54160.06,0
1.0,AGRA,25429,225732,22055,497593,9704,344011,7910,363180,6265,352905,4347,284850,4852,361919,8990,812884,7197,719700,0,0,0,0,0,0,0,0,0,0,96749,3962774,2021,40,,-16.18,0.0,0.0,0.0,13439.0,0.0,0.0,0.0,0.0,0.0,13422.82,0.0,7907.54,255.15,4432.15,488.89,329.71,13.9,343.61,13427.33,100.03,-4.51,6.27,1.59,2.37,0.08,10.31,13832.0,,No trend yet,119411.0,,No trend yet,11291.0,,No trend yet,253421.0,,No trend yet,4346.0,,No trend yet,154944.0,,No trend yet,2933.0,,No trend yet,135820.0,,No trend yet,2215.0,,No trend yet,125064.0,,No trend yet,1572.0,,No trend yet,102659.0,,No trend yet,1655.0,,No trend yet,122254.0,,No trend yet,605.0,,No trend yet,43997.0,,No trend yet,6486.0,,No trend yet,648600.0,,No trend yet,0.0,,No trend yet,0.0,,No trend yet,0.0,,No trend yet,0.0,,No trend yet,0.0,,No trend yet,0.0,,No trend yet,0.0,,No trend yet,0.0,,No trend yet,0.0,,No trend yet,0.0,,No trend yet,44935.0,,No trend yet,1706170.0,,No trend yet,,,No trend yet,-28.49,,No trend yet,0.0,,No trend yet,0.0,,No trend yet,0.0,,No trend yet,8081.55,,No trend yet,0.0,,No trend yet,0.0,,No trend yet,0.0,,No trend yet,0.0,,No trend yet,0.0,,No trend yet,8053.049999999999,,No trend yet,0.0,,No trend yet,3720.42,,No trend yet,107.8,,No trend yet,3752.49,,No trend yet,421.65,,No trend yet,65.07,,No trend yet,13.29,,No trend yet,78.36000000000001,,No trend yet,8080.71,,No trend yet,0.4600000000000079,,No trend yet,-27.65,,No trend yet,4.94,,No trend yet,0.78,,No trend yet,0.9300000000000002,,No trend yet,-0.0399999999999999,,No trend yet,6.61,,No trend yet,54160.06,34629.97,1
1.0,AGRA,24872,217653,18940,426577,8204,291235,6755,311018,5346,302618,3944,257056,4040,300252,6530,589771,4626,462600,2,202,0,0,0,0,0,0,0,0,83259,3158982,2022,40,,-27.46,0.0,0.0,0.0,8512.27,0.0,0.0,0.0,0.0,0.0,8484.81,0.0,6401.13,353.65,1118.59,117.73,515.97,0.0,515.97,8507.07,100.26,-22.26,13.38,7.34,4.93,0.47,26.12,-557.0,20632.666666666668,High increase,-8079.0,183235.3333333333,High increase,-3115.0,17253.0,Slight increase,-71016.0,389447.3333333333,Slight increase,-1500.0,7755.333333333333,Slight increase,-52776.0,274771.0,Slight increase,-1155.0,6547.333333333333,Slight increase,-52162.0,300519.3333333333,Slight increase,-919.0,5220.333333333333,Slight increase,-50287.0,294454.6666666667,Slight increase,-403.0,3688.6666666666665,Slight increase,-27794.0,241365.66666666663,Slight increase,-812.0,4029.6666666666665,Slight increase,-61667.0,300612.0,Stable,-2460.0,7968.333333333333,Decrease,-223113.0,723847.3333333334,Decrease,-2571.0,4178.0,High increase,-257100.0,417800.0,High increase,2.0,0.6666666666666666,High increase,202.0,67.33333333333333,High increase,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,-13490.0,77274.0,Slight increase,-803792.0,3126120.0,Slight increase,,,No trend yet,-11.28,-10.443333333333332,Decrease,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,-4926.73,9102.906666666668,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,-4938.01,9092.466666666667,Stable,0.0,0.0,Stable,-1506.41,6165.263333333333,Slight increase,98.49999999999996,252.05,High increase,-3313.5599999999995,2076.8,Decrease,-371.16,224.62,Decrease,186.26000000000005,370.1066666666666,High increase,-13.9,4.836666666666667,Decrease,172.36,374.9433333333333,High increase,-4920.26,9093.673333333332,Stable,0.2300000000000039,99.95333333333332,Slight increase,-17.75,-1.2100000000000009,Decrease,7.110000000000001,6.993333333333333,High increase,5.75,3.2466666666666666,High increase,2.56,2.9133333333333336,High increase,0.3899999999999999,0.2233333333333333,High increase,15.81,13.376666666666663,High increase,34629.97,66416.84999999999,0
1.0,AGRA,20162,180255,15888,364308,7640,271002,6829,313580,5631,316636,4179,274683,4608,344150,10355,940913,8085,808500,82,8382,0,0,0,0,0,0,0,0,83459,3822409,2023,40,,-54.18,0.0,0.0,0.0,16477.4,0.0,0.0,0.0,0.0,0.0,16423.23,0.0,7934.03,379.94,6792.4,785.21,547.82,2.3,550.12,16441.7,100.11,-18.47,14.88,5.79,6.64,0.31,27.62,-4710.0,23487.666666666668,Decrease,-37398.0,207880.0,Decrease,-3052.0,18961.0,Decrease,-62269.0,429492.6666666667,Decrease,-564.0,8516.0,Decrease,-20233.0,302082.6666666667,Decrease,74.0,7164.666666666667,Stable,2562.0,329259.3333333333,Stable,285.0,5747.333333333333,Stable,14018.0,324053.0,Stable,235.0,4156.666666666667,Slight increase,17627.0,272196.3333333333,Slight increase,568.0,4500.0,Slight increase,43898.0,335440.3333333333,Slight increase,3825.0,8625.0,High increase,351142.0,781189.3333333334,High increase,3459.0,6636.0,High increase,345900.0,663600.0,High increase,80.0,28.0,High increase,8180.0,2861.333333333333,High increase,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,200.0,87822.33333333333,Stable,663427.0,3648055.0,Slight increase,,,No trend yet,-26.72,-32.60666666666666,Decrease,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,7965.130000000001,12809.556666666664,High increase,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,7938.42,12776.953333333331,High increase,0.0,0.0,Stable,1532.8999999999996,7414.233333333334,Slight increase,26.29000000000002,329.58,High increase,5673.81,4114.38,High increase,667.48,463.9433333333333,High increase,31.850000000000023,464.5,High increase,2.3,5.4,Decrease,34.14999999999998,469.9,High increase,7934.630000000001,12792.033333333336,High increase,-0.1500000000000056,100.13333333333333,Stable,3.7900000000000023,-15.08,Decrease,1.5,11.51,High increase,-1.5499999999999998,4.906666666666666,High increase,1.71,4.646666666666667,High increase,-0.1599999999999999,0.2866666666666667,Slight increase,1.5,21.35,High increase,66416.84999999999,63163.85,0
1.0,AGRA,14894,133559,14435,328252,8516,301612,7718,352309,6879,384637,6286,413057,6528,492492,18007,1646870,7590,759000,169,17119,0,0,0,0,0,0,0,0,91022,4828907,2024,40,,-73.78,0.0,0.0,0.0,15719.36,0.0,15645.58,11130.51,531.15,3132.34,390.43,391.49,2.14,393.62,15578.05,99.57,67.53,14.41,5.94,46.56,11.02,77.93,,,,,,-5268.0,19976.0,Decrease,-46696.0,177155.66666666666,Decrease,-1453.0,16421.0,Decrease,-36056.0,373045.6666666667,Decrease,876.0,8120.0,Slight increase,30610.0,287949.6666666667,Slight increase,889.0,7100.666666666667,Slight increase,38729.0,325635.6666666667,Slight increase,1248.0,5952.0,High increase,68001.0,334630.3333333333,High increase,2107.0,4803.0,High increase,138374.0,314932.0,High increase,1920.0,5058.666666666667,High increase,148342.0,378964.6666666667,High increase,7652.0,11630.666666666666,High increase,705957.0,1059184.6666666667,High increase,-495.0,6767.0,High increase,-49500.0,676700.0,High increase,87.0,84.33333333333333,High increase,8737.0,8567.666666666666,High increase,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,7563.0,85913.33333333333,Slight increase,1006498.0,3936766.0,High increase,,,No trend yet,-19.6,-51.806666666666665,Decrease,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,-758.0400000000009,13569.676666666666,High increase,0.0,0.0,Stable,15645.58,5215.193333333334,High increase,11130.51,3710.17,High increase,531.15,177.04999999999998,High increase,3132.34,1044.1133333333337,High increase,-16032.8,8432.823333333332,Decrease,391.49,130.49666666666667,High increase,-7931.889999999999,4779.099999999999,Decrease,13.680000000000009,375.7366666666667,Slight increase,8785.65,7829.68,High increase,-685.6400000000001,334.17,Decrease,-480.2900000000001,377.1066666666666,Decrease,12.11,5.57,High increase,-544.18,357.3433333333334,Decrease,-16395.14,8331.776666666667,Decrease,-89.09,70.46333333333334,Decrease,96.4,12.4,High increase,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,63163.85,,0
2.0,ALIGARH,18318,161261,13214,304022,5752,202447,5856,264079,3786,209767,4036,265338,2749,208305,7203,652224,699,69900,0,0,0,0,0,0,0,0,0,0,61613,2337343,2020,41,,-1.22,0.0,0.0,0.0,5396.45,0.0,0.0,0.0,0.0,0.0,5395.22,0.0,4382.75,130.86,615.9,31.72,223.58,0.78,224.36,5385.59,99.82,9.63,4.11,1.08,17.28,0.18,22.65,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,21940.74,55822.62000000001,0
2.0,ALIGARH,38543,326363,29574,658546,11312,397969,9557,431204,6404,354453,5705,373491,4116,311380,7410,663859,6716,671600,1,102,0,0,0,0,0,0,0,0,119338,4188967,2021,41,,-11.79,0.0,0.0,0.0,13883.03,0.0,0.0,0.0,0.0,0.0,13871.23,0.0,8557.52,319.31,4543.2,248.48,197.28,0.4,197.68,13866.19,99.96,5.05,9.65,3.94,8.19,0.76,22.54,20225.0,,No trend yet,165102.0,,No trend yet,16360.0,,No trend yet,354524.0,,No trend yet,5560.0,,No trend yet,195522.0,,No trend yet,3701.0,,No trend yet,167125.0,,No trend yet,2618.0,,No trend yet,144686.0,,No trend yet,1669.0,,No trend yet,108153.0,,No trend yet,1367.0,,No trend yet,103075.0,,No trend yet,207.0,,No trend yet,11635.0,,No trend yet,6017.0,,No trend yet,601700.0,,No trend yet,1.0,,No trend yet,102.0,,No trend yet,0.0,,No trend yet,0.0,,No trend yet,0.0,,No trend yet,0.0,,No trend yet,0.0,,No trend yet,0.0,,No trend yet,0.0,,No trend yet,0.0,,No trend yet,57725.0,,No trend yet,1851624.0,,No trend yet,,,No trend yet,-10.57,,No trend yet,0.0,,No trend yet,0.0,,No trend yet,0.0,,No trend yet,8486.580000000002,,No trend yet,0.0,,No trend yet,0.0,,No trend yet,0.0,,No trend yet,0.0,,No trend yet,0.0,,No trend yet,8476.009999999998,,No trend yet,0.0,,No trend yet,4174.77,,No trend yet,188.45,,No trend yet,3927.3,,No trend yet,216.76,,No trend yet,-26.30000000000001,,No trend yet,-0.38,,No trend yet,-26.680000000000007,,No trend yet,8480.6,,No trend yet,0.1400000000000005,,No trend yet,-4.580000000000001,,No trend yet,5.54,,No trend yet,2.86,,No trend yet,-9.090000000000002,,No trend yet,0.5800000000000001,,No trend yet,-0.1099999999999994,,No trend yet,55822.62000000001,34685.6,1
2.0,ALIGARH,43799,351083,30212,661308,10213,359176,8362,377710,5603,310924,4698,306833,3332,250861,4903,438233,3375,337500,0,0,0,0,0,0,0,0,0,0,114497,3393628,2022,41,,-26.13,0.0,0.0,0.0,8605.4,0.0,0.0,0.0,0.0,0.0,8579.27,0.0,6952.76,191.09,1160.97,64.87,218.44,0.0,218.44,8588.12,100.1,-8.85,8.0,4.75,7.81,0.0,20.56,5256.0,33553.333333333336,High increase,24720.0,279569.0,High increase,638.0,24333.33333333333,High increase,2762.0,541292.0,High increase,-1099.0,9092.333333333334,High increase,-38793.0,319864.0,High increase,-1195.0,7925.0,Slight increase,-53494.0,357664.3333333333,Slight increase,-801.0,5264.333333333333,Slight increase,-43529.0,291714.6666666667,Slight increase,-1007.0,4813.0,Stable,-66658.0,315220.6666666667,Stable,-784.0,3399.0,Stable,-60519.0,256848.66666666663,Stable,-2507.0,6505.333333333333,Decrease,-225626.0,584772.0,Decrease,-3341.0,3596.6666666666665,Stable,-334100.0,359666.6666666667,Stable,-1.0,0.3333333333333333,Decrease,-102.0,34.0,Decrease,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,-4841.0,98482.66666666669,High increase,-795339.0,3306646.0,Slight increase,,,No trend yet,-14.34,-13.046666666666669,Decrease,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,-5277.630000000001,9294.96,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,-5291.959999999999,9281.906666666668,Stable,0.0,0.0,Stable,-1604.7600000000002,6631.009999999999,Slight increase,-128.22,213.75333333333333,Decrease,-3382.23,2106.69,Decrease,-183.61,115.02333333333333,Decrease,21.16,213.1,Slight increase,-0.4,0.3933333333333333,Decrease,20.75999999999999,213.4933333333333,Slight increase,-5278.07,9279.966666666667,Stable,0.1400000000000005,99.96,Slight increase,-13.9,1.943333333333334,Decrease,-1.6500000000000004,7.253333333333333,High increase,0.81,3.2566666666666664,High increase,-0.3799999999999999,11.093333333333334,Decrease,-0.76,0.3133333333333333,Decrease,-1.9800000000000004,21.916666666666668,Stable,34685.6,49355.47,0
2.0,ALIGARH,29797,248241,21916,492252,8938,316334,7795,351341,5984,331384,4987,326975,3939,297023,7525,679214,3773,377300,96,9713,0,0,0,0,0,0,0,0,94750,3429777,2023,41,,-43.52,0.0,0.0,0.0,12275.31,0.0,0.0,0.0,0.0,0.0,12231.78,0.0,7217.15,362.19,4075.47,280.16,282.75,1.71,284.47,12219.44,99.9,12.34,4.73,5.54,16.58,1.31,28.16,-14002.0,37379.66666666666,Decrease,-102842.0,308562.3333333333,Decrease,-8296.0,27234.0,Decrease,-169056.0,604035.3333333334,Decrease,-1275.0,10154.333333333334,Decrease,-42842.0,357826.3333333333,Decrease,-567.0,8571.333333333334,Stable,-26369.0,386751.6666666667,Stable,381.0,5997.0,Stable,20460.0,332253.6666666667,Stable,289.0,5130.0,Stable,20142.0,335766.3333333333,Stable,607.0,3795.6666666666665,Slight increase,46162.0,286421.3333333333,Slight increase,2622.0,6612.666666666667,High increase,240981.0,593768.6666666666,High increase,398.0,4621.333333333333,Decrease,39800.0,462133.3333333333,Decrease,96.0,32.333333333333336,High increase,9713.0,3271.6666666666665,High increase,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,-19747.0,109528.33333333331,Decrease,36149.0,3670790.6666666665,Stable,,,No trend yet,-17.390000000000004,-27.146666666666665,Decrease,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,3669.91,11587.913333333332,Slight increase,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,3652.51,11560.76,Slight increase,0.0,0.0,Stable,264.3899999999994,7575.81,Stable,171.1,290.86333333333334,High increase,2914.5,3259.88,High increase,215.29,197.83666666666667,High increase,64.31,232.82333333333332,High increase,1.71,0.7033333333333335,High increase,66.03000000000003,233.53,High increase,3631.32,11557.916666666666,Slight increase,-0.1999999999999886,99.98666666666666,Stable,21.19,2.846666666666667,High increase,-3.27,7.460000000000001,Decrease,0.79,4.743333333333333,High increase,8.77,10.86,High increase,1.31,0.6900000000000001,High increase,7.600000000000001,23.75333333333333,High increase,49355.47,46741.049999999996,1
2.0,ALIGARH,22232,174935,18357,408667,8261,292182,7218,326504,6030,334010,5076,332371,4554,343645,8853,796948,3764,376400,85,8618,0,0,0,0,0,0,0,0,84430,3394280,2024,41,,-60.29,0.0,0.0,0.0,11624.66,0.0,11564.37,7771.66,596.99,2669.17,242.88,296.63,4.9,301.54,11582.24,100.15,-17.87,5.82,4.81,17.86,3.52,32.01,,,,,,-7565.0,31942.666666666668,Decrease,-73306.0,258086.3333333333,Decrease,-3559.0,23495.0,Decrease,-83585.0,520742.3333333333,Decrease,-677.0,9137.333333333334,Stable,-24152.0,322564.0,Stable,-577.0,7791.666666666667,Stable,-24837.0,351851.6666666667,Stable,46.0,5872.333333333333,Slight increase,2626.0,325439.3333333333,Slight increase,89.0,4920.333333333333,Slight increase,5396.0,322059.6666666667,Slight increase,615.0,3941.6666666666665,High increase,46622.0,297176.3333333333,High increase,1328.0,7093.666666666667,High increase,117734.0,638131.6666666666,High increase,-9.0,3637.3333333333335,Slight increase,-900.0,363733.3333333333,Slight increase,-11.0,60.333333333333336,High increase,-1095.0,6110.333333333333,High increase,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,-10320.0,97892.33333333331,Decrease,-35497.0,3405895.0,Stable,,,No trend yet,-16.769999999999996,-43.31333333333333,Decrease,0.0,0.0,Stable,0.0,0.0,Stable,0.0,0.0,Stable,-650.6499999999996,10835.123333333337,Slight increase,0.0,0.0,Stable,11564.37,3854.79,High increase,7771.66,2590.5533333333333,High increase,596.99,198.99666666666667,High increase,2669.17,889.7233333333334,High increase,-11988.9,7017.9766666666665,Decrease,296.63,98.87666666666668,High increase,-7212.25,4724.9366666666665,Decrease,-60.64999999999998,284.94,Slight increase,7506.77,5606.2266666666665,High increase,-180.01000000000002,148.39333333333337,Decrease,-300.62,161.10666666666663,Decrease,4.11,2.51,High increase,-279.66,169.24,Decrease,-12201.58,6941.806666666666,Decrease,-96.38,67.84,Decrease,19.67,11.833333333333334,High increase,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,,,No trend yet,46741.049999999996,,0
