Financial Performance Under MGNREGA during the Financial Year 2019-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State:UTTAR PRADESH,,,,,,,,,,,,,,,,,,,,,,,(Rs. in Lakhs),,,,,,
S.No,District,Opening Balance(OB),,Release of,,Release from,Authorisation,Misc Reciept,Borrowed Fund ,,Inter-district,,Total Availabilty,Cumulative LB,Cumulative Expenditure,,,,,,,,%age Utilization,Balance,Payment due**,,,,
,,,,Last FY but,,State Fund(*) to,of,,,,fund transfer,,,Estimation of,,,,,,,,,,,,,,,
,,,,Received,,districts,EFMS,,,,,,,Expenditure upto,,,,,,,,,,,,,,,
,,,,during the,,,,,,,,,,Reporting months,,,,,,,,,,,,,,,
,,,,Current FY,,,,,,,,,,(March),,,,,,,,,,,,,,,
,,,Entered OB ,Centre,State ,,,,From other,Refunded to,Fund transfer to,Fund received,,,Actual Expenditure,,,,Adm.Exp ,,,Total,,,On Unskilled Wage ,On Semi-skilled and Skilled Wage ,On Material,Tax ,Total
,,,,,,,,,district or,district/state ,other district ,from other,,,,,,,,,,,,,,,,,
,,,,,,,,,Revolving Fund ,,,districts ,,,Unskilled Wage ,Semi-skilled and Skilled Wage,Material ,Tax ,Rec Exp,Non-Rec Exp ,Total Adm. Exp ,,,,,,,,
1,2,,4,5,6,7,8,9,10,11,12,13,14=(4+5+6+7+8+9+10+13)-(11+12),15,16,17,18,19,20,21,22=20+21,23=16+17+18+19+22,24=(23/14)*100,25=14-23,26,27,28,29,30=26+27+28+29
Phase I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AZAMGARH,,0.9,0,0,0,16034.28,0,0,0,0,0,16035.18,0,12103.53,371.18,2580.56,104.78,830.21,8.55,838.76,15998.81,99.77,36.37,1.73,2.76,2.45,0.11,7.05
2,BANDA,,-5.24,0,0,0,9860.54,0,0,0,0,0,9855.29,0,6962.53,146.54,2205.67,124.46,372.96,6.29,379.26,9818.46,99.63,36.84,2.68,1.16,0.96,0.06,4.86
3,BARABANKI,,66.52,0,0,0,14281.24,0,0,0,0,0,14347.76,0,9585.86,403.59,3545.44,41.32,677.32,11.85,689.17,14265.39,99.43,82.37,1.73,2.79,8.69,0,13.21
4,CHANDAULI,,43.95,0,0,0,7498.39,0,0,0,0,0,7542.34,0,5539.02,237,1271.14,24.59,398.31,4.4,402.71,7474.46,99.1,67.88,7.42,2.03,0.29,0,9.74
5,CHITRAKOOT,,53.01,0,0,0,7224.35,0,0,0,0,0,7277.36,0,5476.6,135.95,1196.07,131.89,250.65,6.82,257.48,7197.99,98.91,79.37,0.55,1.86,1.58,0.19,4.18
6,FATEHPUR,,23.14,0,0,0,11169.55,0,0,0,0,0,11192.68,0,8344.22,205.06,2000.31,20.03,579.78,7.72,587.5,11157.12,99.68,35.57,5.14,3.54,3.53,0,12.21
7,GORAKHPUR,,4,0,0,0,10065.11,0,0,0,0,0,10069.11,0,7927.16,213.37,1382.89,42.08,492.86,3.09,495.95,10061.46,99.92,7.65,34.35,3.99,11.2,0.3,49.84
8,HAMIRPUR,,-0.43,0,0,0,8348.42,0,0,0,0,0,8347.99,0,5639.34,154.75,2084.42,167.97,242.54,7.09,249.62,8296.11,99.38,51.88,5.26,1.07,0.09,0,6.42
9,HARDOI,,32.84,0,0,0,17847.81,0,0,0,0,0,17880.65,0,14673.89,242.24,2055.7,73.99,772.7,5.5,778.2,17824.02,99.68,56.62,5.67,2.15,2.94,0.08,10.84
10,JALAUN,,-1.45,0,0,0,10242.67,0,0,0,0,0,10241.21,0,7434.18,232.95,1942.21,196.02,397.51,5.13,402.64,10208,99.68,33.21,3.27,2.26,0.11,0,5.64
11,JAUNPUR,,69.84,0,0,0,19008.47,0,0,0,0,0,19078.3,0,11965.58,202.72,5496.89,503.89,789.49,27.12,816.61,18985.7,99.51,92.61,37.09,2.71,17.54,1.64,58.98
12,KAUSHAMBI,,20.84,0,0,0,4802.3,0,0,0,0,0,4823.14,0,3455.57,64.39,1040.32,25.96,212.51,2.18,214.69,4800.93,99.54,22.21,11,2.19,0,0,13.19
13,KHERI,,-10.68,0,0,0,14239.78,1.84,0,5.5,0,0,14225.44,0,11501.21,221.11,1717.78,142.59,637.72,4.95,642.67,14225.36,100,0.09,3.33,1.84,0.63,0.09,5.89
14,KUSHI NAGAR,,154.77,0,0,0,13815.91,0,0,0,0,0,13970.67,0,10488.53,368.38,2239.54,6.13,671.8,7.47,679.26,13781.83,98.65,188.84,5.31,5.75,0.85,0,11.91
15,LALITPUR,,-1.28,0,0,0,10725.53,0,0,0,0,0,10724.25,0,7555.22,274.09,2359.98,231.38,297.32,0.19,297.51,10718.19,99.94,6.06,7.05,2.18,0.11,0.02,9.36
16,MAHOBA,,4.3,0,0,0,2891.09,0,0,0,0,0,2895.39,0,2254.16,99.08,349.26,36.6,140.37,4,144.37,2883.46,99.59,11.92,5.93,2.33,0,0,8.26
17,MIRZAPUR,,40.11,0,0,0,8911.61,0,0,0,0,0,8951.72,0,6475.97,231.17,1690.5,103.46,418.62,1.29,419.91,8921.01,99.66,30.71,2.52,1.95,0,0,4.47
18,PRATAPGARH,,-50.56,0,0,0,12781.87,0,0,0,0,0,12731.3,0,10044.14,162.4,1768.92,110.06,674.06,4.72,678.77,12764.3,100.26,-32.99,7.98,0.27,651.95,8.03,668.23
19,RAE BARELI,,9.96,0,0,0,11286.36,0,0,0,0,0,11296.32,0,8004.14,248.64,2391.41,30.21,576.79,10.01,586.8,11261.21,99.69,35.11,1.08,1.25,1.62,0,3.95
20,SITAPUR,,36.79,0,0,0,23520.48,0,0,0,0,0,23557.27,0,17340.34,367.19,4501.94,193.37,1098.69,5.88,1104.57,23507.42,99.79,49.85,6.19,6.81,41.68,2.4,57.08
21,SONBHADRA,,-4.15,0,0,0,10151.65,0,0,0,0,0,10147.49,0,7334.63,261.85,2003.11,218.4,370.34,2.07,372.4,10190.39,100.42,-42.9,0.66,1.33,0.04,0.01,2.04
22,UNNAO,,38.84,0,0,0,9590.83,0,0,0,0,0,9629.67,0,7502.14,192.43,1385.05,8.48,486.3,0.05,486.35,9574.44,99.43,55.23,2.17,1.96,0.62,0.04,4.79
PhaseI Total,,,525.99,0,0,0,254298.24,1.84,0,5.5,0,0,254820.54,0,187607.96,5036.1,47209.12,2537.66,11388.86,136.35,11525.21,253916.05,99.65,904.5,158.11,54.18,746.88,12.97,972.14
Phase II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,AMBEDKAR NAGAR,,-4.91,0,0,0,7840.11,0,0,0,0,0,7835.2,0,5613.79,115.14,1715.95,30.1,339.84,0,339.84,7814.82,99.74,20.38,15.16,1.02,4.46,0.11,20.75
24,BAHRAICH,,177.59,0,0,0,16980.12,0,0,0,0,0,17157.71,0,12229.05,326.55,3601.65,15.01,741.86,4.37,746.23,16918.49,98.61,239.22,4.17,8.27,0.52,0,12.96
25,BALLIA,,20.68,0,0,0,7994.71,0,0,0,0,0,8015.39,0,6508.89,112.95,938.31,24.25,375.51,0,375.51,7959.9,99.31,55.49,10.61,0.49,6.75,0,17.85
26,BALRAMPUR,,165,0,0,0,8476.51,0,0,0,0,0,8641.51,0,7366.94,120.58,593.61,8.49,388.05,2.55,390.6,8480.22,98.13,161.28,3.85,5.2,25.89,0.09,35.03
27,BASTI,,153.59,0,0,0,19035.03,0,0,0,0,0,19188.62,0,14702.43,321.28,3318.43,12.12,645.52,7.43,652.95,19007.22,99.05,181.4,15.2,3.22,4.68,0,23.1
28,BUDAUN,,78.56,0,0,0,8867.83,0,0,0,0,0,8946.4,0,7409.91,158.73,787.42,63.59,406.56,0.37,406.93,8826.59,98.66,119.81,17.91,2.14,50.97,3.15,74.17
29,ETAH,,7.45,0,0,0,5186.93,0,0,0,0,0,5194.37,0,3626.91,131.06,1172.62,39.07,198.69,4.11,202.8,5172.46,99.58,21.91,6.13,19.77,0,0,25.9
30,FARRUKHABAD,,19.73,0,0,0,3601.37,0,0,0,0,0,3621.1,0,2924.39,83.35,385.98,20.02,179.29,1.38,180.67,3594.41,99.26,26.69,0.6,0.69,2,0,3.29
31,GONDA,,198.04,0,0,0,17910.77,0,0,0,0,0,18108.81,0,11443.97,148.41,4902.69,517.73,874.65,0,874.65,17887.45,98.78,221.36,1.46,5.09,33.54,3.89,43.98
