S.No,District,Total attendance between (1-14) days,,Total attendance between (15-30) days,,Total attendance between (31-40) days,,Total attendance between (41-50) days,,Total attendance between (51-60) days,,Total attendance between (61-70) days,,Total attendance between (71-80) days,,Total attendance between (81-99) days,,Total attendance equal to 100 days,,Total attendance between (101-150) days,,Total attendance between (101-150) days in Drought Effective Areas,,Total attendance above 150 days,,Total attendance above 150 days in Drought Effective Areas,,Total attendance equal to 150 days ,,Total attendance,
,,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,AGRA,24872,217653,18940,426577,8204,291235,6755,311018,5346,302618,3944,257056,4040,300252,6530,589771,4626,462600,2,202,0,0,0,0,0,0,0,0,83259,3158982
2,ALIGARH,43799,351083,30212,661308,10213,359176,8362,377710,5603,310924,4698,306833,3332,250861,4903,438233,3375,337500,0,0,0,0,0,0,0,0,0,0,114497,3393628
3,AMBEDKAR NAGAR,37870,292996,27013,610463,8902,312609,9979,446631,8823,495493,6852,447800,5247,394336,9819,871853,5052,505200,0,0,0,0,0,0,0,0,0,0,119557,4377381
4,AMETHI,20542,216396,21539,510412,7013,245197,11228,500528,8596,485239,7964,518267,5401,406519,15413,1386402,9729,972900,0,0,0,0,0,0,0,0,0,0,107425,5241860
5,AMROHA,30372,221860,20715,445925,7858,276978,6559,296611,5043,280237,4552,295939,3527,266329,4542,406554,5093,509300,0,0,0,0,0,0,0,0,0,0,88261,2999733
6,AURAIYA,17430,166050,12494,289934,4761,168801,4608,205989,3582,198968,3135,205260,2024,152883,4220,379479,2269,226900,0,0,0,0,0,0,0,0,0,0,54523,1994264
7,AYODHYA,30826,259415,21346,489736,8809,312948,8907,399299,7230,400915,7476,487448,4853,366142,10128,912258,8698,869800,12,1230,0,0,0,0,0,0,0,0,108285,4499191
8,AZAMGARH,61271,687171,48399,1216730,14693,530963,22202,972302,18765,1039698,15098,1000226,7390,559284,16405,1463072,6451,645100,5,511,0,0,0,0,0,0,0,0,210679,8115057
9,BAGHPAT,1008,9058,823,18744,248,8764,178,8076,156,8718,130,8379,89,6754,81,7223,58,5800,0,0,0,0,0,0,0,0,0,0,2771,81516
