Financial Performance Under MGNREGA during the Financial Year 2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State:UTTAR PRADESH,,,,,,,,,,,,,,,,,,,,,,,(Rs. in Lakhs),,,,,,
S.No,District,Opening Balance(OB),,Release of,,Release from,Authorisation,Misc Reciept,Total Availabilty,Cumulative Expenditure,,,,,,,,%age Utilization,Balance,Payment due**,,,,,,,,,
,,,,Last FY but,,State Fund(*) to,of,,,,,,,,,,,,,,,,,,,,,,
,,,,Received,,districts,EFMS,,,,,,,,,,,,,,,,,,,,,,
,,,,during the,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Current FY,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Entered OB ,Centre,State ,,,,,Actual Expenditure,,,,Adm.Exp ,,,Total,,,On Unskilled Wage ,On Semi-skilled and Skilled Wage ,On Material,Tax ,Total,,,,,
,,,,,,,,,,Unskilled Wage ,Semi-skilled and Skilled Wage,Material ,Tax ,Rec Exp,Non-Rec Exp ,Total Adm. Exp ,,,,,,,,,,,,,
1,2,,4,5,6,7,8,9,14=(4+5+6+7+8+9+10+13)-(11+12),16,17,18,19,20,21,22=20+21,23=16+17+18+19+22,24=(23/14)*100,25=14-23,26,27,28,29,30=26+27+28+29,,,,,
Phase I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AZAMGARH,,-101.86,0,0,0,31193.97,0,31092.11,21415.53,1068.99,6352.31,838.55,1054.12,8.86,1062.98,30738.36,98.86,353.75,12.54,3.64,75.98,20.64,112.8,,,,,
2,BANDA,,-132.98,0,0,0,12164.23,0,12031.25,9885.74,207.09,1430.7,161.56,399.31,4.04,403.35,12088.43,100.48,-57.19,9.22,0.41,232.26,23.34,265.23,,,,,
3,BARABANKI,,-168.99,0,0,0,30254.53,0,30085.54,19724.86,1592.1,6965.75,920.19,853.44,19.91,873.35,30076.26,99.97,9.29,24.99,2.28,13.73,4.58,45.58,,,,,
4,CHANDAULI,,-106.96,0,0,0,17067.74,0,16960.77,11830.01,784.36,3565.9,192.64,509.34,8.52,517.86,16890.77,99.59,70,27.53,0.83,191.8,8.44,228.6,,,,,
5,CHITRAKOOT,,-122.21,0,0,0,9082.01,0,8959.8,5993.36,312.34,2046.17,291.51,271.54,5.11,276.65,8920.03,99.56,39.77,3.85,3.96,26.55,5.8,40.16,,,,,
6,FATEHPUR,,-60.89,0,0,0,17352.48,0,17291.59,12936.22,452.3,2887.67,228.41,642.7,6.85,649.55,17154.15,99.21,137.45,10.87,3.51,34.95,5.07,54.4,,,,,
7,GORAKHPUR,,-267.75,0,0,0,22796.67,0,22528.92,15396.82,688.71,5396.87,312.32,731.12,4.37,735.49,22530.21,100.01,-1.29,69.9,2.02,61.11,8.29,141.32,,,,,
8,HAMIRPUR,,-136.19,0,0,0,14067.88,0,13931.69,10854.69,248.68,2364.89,239.36,320.68,1.19,321.88,14029.51,100.7,-97.82,3.08,1.24,99.91,17.82,122.05,,,,,
9,HARDOI,,-368.64,0,0,0,27313.64,0,26945,19550.16,922.77,5141.88,461.49,904.29,19.4,923.69,27000,100.2,-54.99,9.1,6.38,95.31,30.35,141.14,,,,,
10,JALAUN,,-86.11,0,0,0,24234.18,0,24148.07,19287.63,444.58,3413.98,348.44,617.43,3.97,621.41,24116.04,99.87,32.03,28.93,8.19,839.54,92.73,969.39,,,,,
11,JAUNPUR,,-485.14,0,0,0,40377.7,0,39892.56,27898.85,716.43,9049.7,1095.33,1102.39,35.57,1137.96,39898.27,100.01,-5.71,66.52,12.46,203.24,45.77,327.99,,,,,
12,KAUSHAMBI,,-82.18,0,0,0,8906.43,0,8824.25,5133.64,210.11,3030.67,90.79,250.61,3.48,254.08,8719.28,98.81,104.97,17.02,4.87,9.7,1.46,33.05,,,,,
13,KHERI,,-67.74,0,0,0,27390.71,0,27322.97,19395.98,1020.57,5046.47,678.69,820.01,9.11,829.12,26970.83,98.71,352.14,8.75,6.7,81.46,25.78,122.69,,,,,
14,KUSHI NAGAR,,-139.58,0,0,0,19735.65,0,19596.07,13004.58,873.36,4876.17,38.73,706.13,2.61,708.74,19501.58,99.52,94.49,21.16,1.86,59.93,0.15,83.1,,,,,
15,LALITPUR,,-123.3,0,0,0,16686.07,0,16562.77,10567.6,654.16,4380.58,517.7,473.7,2.71,476.4,16596.44,100.2,-33.67,2.43,2.12,15.08,3.48,23.11,,,,,
16,MAHOBA,,-74.91,0,0,0,6647.3,0,6572.39,3851.79,235.53,1988.46,258.85,305.26,0.44,305.69,6640.31,101.03,-67.92,0.9,1.56,20.8,4.48,27.74,,,,,
17,MIRZAPUR,,-297.3,0,0,0,15583.77,0,15286.47,9882.97,558.06,3735.07,488.17,536.11,12.35,548.46,15212.73,99.52,73.73,9.35,0.99,520.4,78.09,608.83,,,,,
18,PRATAPGARH,,-201.82,0,0,0,21338.17,0,21136.35,16470.17,451.02,3319.9,227.12,756.78,10.76,767.53,21235.74,100.47,-99.38,16.15,6.37,116.71,13.64,152.87,,,,,
19,RAE BARELI,,-213.68,0,0,0,16899.58,0,16685.89,9624.61,433.39,5330.98,622.04,651.72,16.73,668.46,16679.47,99.96,6.42,1.82,1.88,28.42,4.03,36.15,,,,,
20,SITAPUR,,-400.37,0,0,0,42149.67,0,41749.3,28384.89,2122.14,9030.72,799.16,1666.28,12.16,1678.44,42015.35,100.64,-266.05,26.99,8.2,1035.31,101.32,1171.82,,,,,
21,SONBHADRA,,-337.6,0,0,0,17429.18,0,17091.58,11355.6,841.79,4084.32,414.05,484.46,6.56,491.02,17186.78,100.56,-95.2,1.61,0.78,14.55,6.91,23.85,,,,,
22,UNNAO,,-91.75,0,0,0,12251.35,0,12159.6,9286.4,400.23,1878.85,109.61,525.44,0.24,525.68,12200.77,100.34,-41.17,7.81,2.09,10.09,3.66,23.65,,,,,
PhaseI Total,,,-4067.94,0,0,0,450922.91,0,446854.96,311732.1,15238.7,95318.01,9334.71,14582.86,194.94,14777.8,446401.31,99.9,453.65,380.52,82.34,3786.83,505.83,4755.52,,,,,
Phase II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,AMBEDKAR NAGAR,,-135.29,0,0,0,16913.17,0,16777.88,11143.16,563.85,4621.56,140.81,432.28,0.85,433.12,16902.5,100.74,-124.62,26.18,7.65,62.57,13.81,110.21,,,,,
24,BAHRAICH,,-87.8,0,0,0,35544.81,0,35457.01,27597.45,995.39,5272.2,320.99,1085.81,62.46,1148.26,35334.3,99.65,122.71,20.12,6.78,345.67,33.35,405.92,,,,,
25,BALLIA,,-163.93,0,0,0,16345.14,0,16181.21,11343.89,304.66,3683.75,126.25,646.84,1.62,648.46,16107,99.54,74.21,7.01,2.77,262.16,5.87,277.81,,,,,
26,BALRAMPUR,,-161.59,0,0,0,19588.34,0,19426.75,13568.96,477.45,4460.56,328.54,652.67,5.17,657.84,19493.34,100.34,-66.59,17.54,9.25,115.68,10.77,153.24,,,,,
27,BASTI,,-239.81,0,0,0,43156.13,0,42916.32,28315.72,1435.34,11628.91,411.15,1252.52,23.88,1276.4,43067.52,100.35,-151.2,46.62,3.25,224.57,5.02,279.46,,,,,
28,BUDAUN,,-142.78,0,0,0,10795.64,0,10652.86,8337.29,251.42,1553.52,164.4,443.59,1.6,445.19,10751.81,100.93,-98.95,19.07,3.05,32.1,7.56,61.78,,,,,
29,ETAH,,-96.89,0,0,0,10919.88,0,10822.98,7402.48,479.25,2301,240.22,355.71,6.34,362.05,10785,99.65,37.98,20.4,1.31,26.51,3.3,51.52,,,,,
30,FARRUKHABAD,,-79.24,0,0,0,8479.74,0,8400.5,5730.76,332.29,1812.03,265.92,330.67,4.48,335.16,8476.15,100.9,-75.65,3.32,1.87,24.73,5.51,35.43,,,,,
31,GONDA,,-33.52,0,0,0,16845.56,0,16812.05,12380.31,383.11,2933.23,310.32,721.9,0.41,722.32,16729.29,99.51,82.76,4.02,4.66,50.96,12.59,72.23,,,,,
32,JHANSI,,-46.25,0,0,0,14543.47,0,14497.23,10626.49,479.96,2505.57,277.01,576.67,1.99,578.66,14467.69,99.8,29.53,14.37,2.83,15.12,9.47,41.79,,,,,
